紅2	44	46
	榮總一	去	25.119000,121.521667
	榮總	去	25.118500,121.518333
	永明派出所	去	25.117333,121.516667
	綜合市場	去	25.116000,121.515000
	捷運石牌站	去	25.114833,121.515000
	捷運石牌站	返	25.114667,121.516667
	綜合市場	返	25.115833,121.515000
	永明派出所	返	25.117167,121.516667
	榮總	返	25.118667,121.520000
	齊賢華廈	返	25.118500,121.525000
	齊福華廈	返	25.118467,121.528917
	三玉宮	返	25.118167,121.531667
	啟智學校	返	25.117833,121.535000
	天母棒球場	返	25.114500,121.531667
	蘭雅國中	返	25.109833,121.530000
	蘭雅新城	返	25.107500,121.530000
	雨農國小	返	25.105667,121.528333
	忠誠公園	返	25.104167,121.525000
	德行(中山忠誠路口)	返	25.103000,121.525267
	福林橋	返	25.097333,121.526667
	捷運士林站(中正)	返	25.095500,121.526667
	士林國中	返	25.094833,121.523333
	士林區行政中心(中正)	返	25.094000,121.520000
	士林高商	返	25.094351,121.517088
	科學教育館	返	25.095190,121.517270
	市立天文科學館	返	25.095000,121.518667
紅13	38	36
	八仙樂園	去	25.141980,121.390700
	廈竹圍	去	25.143970,121.393700
	土地公廟	去	25.054470,121.596082
	八里	去	25.146930,121.398400
	舊城里	去	25.147720,121.400200
	八里區公所	去	25.148590,121.401800
	八里服務站	去	25.148910,121.402900
	八里國小	去	25.149840,121.404300
	中廣公司	去	25.151865,121.405474
	山海觀	去	25.152950,121.406100
	仁愛街口	去	25.091833,121.471667
	田心(十三行博物館)	去	25.155890,121.408600
	十三行博物館	去	
	八里污水處理廠	去	
	十三行文化公園	去	
	挖子尾自然保留區	去	
	雷朗園區	去	
	水興公	去	
	左岸公園左岸碼頭	去	
	下街仔	去	25.158390,121.431400
	渡船頭	去	25.158230,121.434100
	水雲山莊	去	25.155770,121.436900
	米倉里	去	25.153630,121.440000
	觀音路口	去	25.149790,121.443400
	米倉國小	去	25.147650,121.445200
	米倉國小一	去	
	聖心別墅	去	25.144380,121.446500
	烏山頭	去	25.141230,121.447700
	張厝	去	25.098112,121.418288
	聖心女中	去	25.135280,121.450100
	龍形	去	25.132900,121.451100
	大福社區	去	25.130360,121.451300
	艋舺橋(臨時站)	去	25.129290,121.451600
	艋舺橋	去	25.127460,121.452000
	關渡大橋	去	25.126790,121.452000
	關渡	去	25.125633,121.465533
	慈濟志業中心	去	
